rsi,pivot_k,direction,locations,trigger,target_r,n_trades,winrate,avg_r,profit_factor,total_r,max_dd_r,n_instruments,n_instruments_positive,score,per_instrument
14,3,long,sr,candle,2.5,73,0.4383561643835616,0.4210461738539487,1.763966689418704,30.736370691338255,12.844236105296426,5,4,3.5974200863597536,"GOOG:n=3,avgR=0.17; EURUSD:n=19,avgR=0.38; MSFT:n=19,avgR=0.56; SP500:n=16,avgR=-0.43; NASDAQ:n=16,avgR=1.20"
9,3,long,sr,candle,2.5,104,0.40384615384615385,0.3340035643397909,1.567285520745475,34.73637069133825,12.344236105296424,5,4,3.4061813843562736,"GOOG:n=3,avgR=0.17; EURUSD:n=28,avgR=0.56; MSFT:n=33,avgR=0.11; SP500:n=21,avgR=-0.06; NASDAQ:n=19,avgR=0.85"
14,3,long,sr,candle,1.5,77,0.5324675324675324,0.3184533761063826,1.6877766780536736,24.520909960191457,7.0,5,3,2.794417034378297,"GOOG:n=3,avgR=-0.17; EURUSD:n=20,avgR=0.38; MSFT:n=19,avgR=0.25; SP500:n=19,avgR=-0.08; NASDAQ:n=16,avgR=0.90"
9,3,long,sr,either,2.5,154,0.3961038961038961,0.21758253205319475,1.3682644321776778,33.50770993619199,9.564714972102713,5,5,2.7001282138484917,"GOOG:n=7,avgR=0.28; EURUSD:n=44,avgR=0.12; MSFT:n=47,avgR=0.04; SP500:n=30,avgR=0.36; NASDAQ:n=26,avgR=0.52"
14,3,long,bb,candle,1.5,3,1.0,1.5,inf,4.5,0.0,2,2,2.598076211353316,"EURUSD:n=2,avgR=1.50; NASDAQ:n=1,avgR=1.50"
9,3,long,bb,candle,1.5,3,1.0,1.5,inf,4.5,0.0,2,2,2.598076211353316,"EURUSD:n=2,avgR=1.50; NASDAQ:n=1,avgR=1.50"
9,3,long,sr+fib,candle,2.5,9,0.5555555555555556,0.8447080532556002,2.9005931198251007,7.602372479300402,3.0,4,3,2.5341241597668005,"EURUSD:n=2,avgR=0.75; MSFT:n=3,avgR=1.03; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,5,long,sr+bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
9,5,long,sr+bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
9,5,long,bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
14,5,long,bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
9,3,long,sr+fib,either,2.5,12,0.5,0.6751977066083669,2.350395413216734,8.102372479300403,4.0,4,3,2.338953465999351,"EURUSD:n=3,avgR=0.17; MSFT:n=4,avgR=1.40; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,5,long,sr+bb,either,2.5,3,0.6666666666666666,1.3333333333333333,5.0,4.0,1.0,3,2,2.309401076758503,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,5,long,sr,either,2.5,47,0.40425531914893614,0.3331234501860775,1.5974928695920074,15.656802158745641,7.0,5,3,2.28377931376965,"GOOG:n=3,avgR=-1.18; EURUSD:n=15,avgR=0.55; MSFT:n=12,avgR=0.62; SP500:n=7,avgR=-0.68; NASDAQ:n=10,avgR=0.82"
14,5,long,sr,candle,1.5,37,0.5405405405405406,0.37385720069104084,1.8555992948280386,13.832716425568512,7.0,5,3,2.274084572045645,"GOOG:n=2,avgR=-1.00; EURUSD:n=12,avgR=0.67; MSFT:n=8,avgR=0.56; SP500:n=7,avgR=-1.00; NASDAQ:n=8,avgR=1.29"
14,5,long,sr,candle,2.5,36,0.4166666666666667,0.3691677995197592,1.6536570901466556,13.290040782711332,7.188852679897369,5,3,2.215006797118555,"GOOG:n=2,avgR=-1.00; EURUSD:n=11,avgR=0.44; MSFT:n=8,avgR=0.91; SP500:n=7,avgR=-1.00; NASDAQ:n=8,avgR=1.27"
9,3,long,sr,macd,2.5,121,0.4132231404958678,0.19865715281410953,1.343785421045534,24.037515490507253,15.538860473804062,5,5,2.185228680955205,"GOOG:n=7,avgR=0.28; EURUSD:n=36,avgR=0.04; MSFT:n=34,avgR=0.09; SP500:n=23,avgR=0.61; NASDAQ:n=21,avgR=0.17"
9,3,long,sr,candle,1.5,109,0.48623853211009177,0.2066138528457932,1.404670737775339,22.52090996019146,10.326659908588162,5,3,2.1571119526970213,"GOOG:n=3,avgR=-0.17; EURUSD:n=30,avgR=0.42; MSFT:n=33,avgR=-0.06; SP500:n=24,avgR=0.04; NASDAQ:n=19,avgR=0.60"
9,3,long,sr+bb,candle,1.5,2,1.0,1.5,inf,3.0,0.0,2,2,2.121320343559643,"EURUSD:n=1,avgR=1.50; NASDAQ:n=1,avgR=1.50"
14,3,long,sr+bb,candle,1.5,2,1.0,1.5,inf,3.0,0.0,2,2,2.121320343559643,"EURUSD:n=1,avgR=1.50; NASDAQ:n=1,avgR=1.50"
14,3,long,sr+fib,either,2.5,10,0.5,0.6602372479300402,2.3204744958600805,6.602372479300402,4.0,4,3,2.087853499540218,"EURUSD:n=2,avgR=0.75; MSFT:n=3,avgR=1.03; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,3,long,bb,either,1.5,11,0.6363636363636364,0.5909090909090909,2.625,6.5,3.0,4,2,1.9598237397554636,"EURUSD:n=6,avgR=1.08; MSFT:n=1,avgR=-1.00; SP500:n=3,avgR=-0.17; NASDAQ:n=1,avgR=1.50"
9,3,long,bb,either,1.5,13,0.6153846153846154,0.5384615384615384,2.4,7.0,2.5,4,2,1.9414506867883017,"EURUSD:n=7,avgR=1.14; MSFT:n=3,avgR=-0.17; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
14,3,long,sr,either,2.5,104,0.38461538461538464,0.18099189347243413,1.3014110486256187,18.82315692113315,11.029879966247842,5,5,1.8457623932360963,"GOOG:n=6,avgR=0.07; EURUSD:n=28,avgR=0.07; MSFT:n=28,avgR=0.12; SP500:n=22,avgR=0.08; NASDAQ:n=20,avgR=0.56"
9,5,long,sr+fib,candle,2.5,6,0.5,0.75,2.5,4.5,3.0,4,3,1.8371173070873834,"EURUSD:n=1,avgR=2.50; MSFT:n=2,avgR=0.75; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,5,long,fib,candle,2.5,6,0.5,0.75,2.5,4.5,3.0,4,3,1.8371173070873834,"EURUSD:n=1,avgR=2.50; MSFT:n=2,avgR=0.75; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,3,long,sr+fib,candle,2.5,8,0.5,0.6377965599125502,2.2755931198251007,5.102372479300402,3.0,4,3,1.8039610901264658,"EURUSD:n=2,avgR=0.75; MSFT:n=2,avgR=0.30; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
9,5,long,sr,candle,2.5,54,0.37037037037037035,0.23685260708724687,1.3837186005578552,12.790040782711332,12.18885267989737,5,3,1.7405040948349966,"GOOG:n=2,avgR=-1.00; EURUSD:n=14,avgR=0.63; MSFT:n=14,avgR=0.34; SP500:n=13,avgR=-0.46; NASDAQ:n=11,avgR=0.65"
9,3,long,fib,candle,2.5,11,0.45454545454545453,0.5093065890273093,1.9337287465500672,5.602372479300402,4.0,4,3,1.6891788590593235,"EURUSD:n=3,avgR=0.17; MSFT:n=3,avgR=1.03; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,3,long,sr+bb,either,1.5,6,0.6666666666666666,0.6666666666666666,3.0,4.0,2.0,4,3,1.6329931618554518,"EURUSD:n=2,avgR=1.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=0.25; NASDAQ:n=1,avgR=1.50"
9,3,long,fib,either,2.5,14,0.42857142857142855,0.4358837485214573,1.7627965599125504,6.102372479300402,5.0,4,2,1.6309276474300256,"EURUSD:n=4,avgR=-0.12; MSFT:n=4,avgR=1.40; SP500:n=3,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,5,long,sr,either,1.5,48,0.4791666666666667,0.23345690657524187,1.4863764616623574,11.20593151561161,7.0,5,3,1.6174368942647184,"GOOG:n=3,avgR=-1.18; EURUSD:n=16,avgR=0.47; MSFT:n=12,avgR=0.31; SP500:n=7,avgR=-0.68; NASDAQ:n=10,avgR=0.83"
9,3,long,bb,either,2.5,13,0.46153846153846156,0.4360856282478454,1.8098733096031414,5.66911316722199,4.0,4,3,1.572329093140534,"EURUSD:n=7,avgR=0.71; MSFT:n=3,avgR=0.05; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,5,long,sr,candle,1.5,57,0.47368421052631576,0.19881958641348266,1.3885420593470335,11.332716425568512,12.5,5,3,1.5010549599107998,"GOOG:n=2,avgR=-1.00; EURUSD:n=15,avgR=0.67; MSFT:n=14,avgR=0.25; SP500:n=15,avgR=-0.50; NASDAQ:n=11,avgR=0.67"
14,5,long,sr+bb,candle,1.5,1,1.0,1.5,inf,1.5,0.0,1,1,1.5,"NASDAQ:n=1,avgR=1.50"
14,5,long,bb,candle,1.5,1,1.0,1.5,inf,1.5,0.0,1,1,1.5,"NASDAQ:n=1,avgR=1.50"
9,5,long,sr+bb,candle,1.5,1,1.0,1.5,inf,1.5,0.0,1,1,1.5,"NASDAQ:n=1,avgR=1.50"
9,5,long,bb,candle,1.5,1,1.0,1.5,inf,1.5,0.0,1,1,1.5,"NASDAQ:n=1,avgR=1.50"
14,3,long,sr+bb,either,2.5,6,0.5,0.5639591427202914,2.127918285440583,3.3837548563217483,3.0,4,3,1.381412135442148,"EURUSD:n=2,avgR=0.75; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=0.19; NASDAQ:n=1,avgR=2.50"
14,3,long,fib,candle,2.5,9,0.4444444444444444,0.4558191643667113,1.8204744958600805,4.102372479300402,3.0,4,3,1.367457493100134,"EURUSD:n=3,avgR=0.17; MSFT:n=2,avgR=0.30; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,3,long,fib,either,2.5,12,0.4166666666666667,0.3835310399417002,1.6574817827572004,4.602372479300402,4.0,4,2,1.3285904949175062,"EURUSD:n=4,avgR=-0.12; MSFT:n=3,avgR=1.03; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
9,3,long,sr+bb,either,2.5,7,0.42857142857142855,0.5,1.875,3.5,4.0,4,2,1.3228756555322954,"EURUSD:n=3,avgR=1.33; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,3,short,sr+bb,macd,2.5,13,0.46153846153846156,0.3516484664207521,1.6530614376385395,4.571430063469777,2.642646337464059,4,3,1.2678865766182985,"EURUSD:n=3,avgR=0.17; MSFT:n=6,avgR=-0.19; SP500:n=2,avgR=0.75; NASDAQ:n=2,avgR=1.86"
9,3,long,bb,macd,2.5,11,0.45454545454545453,0.3790102879292718,1.6948521945369983,4.16911316722199,3.0,3,2,1.257034916745961,"EURUSD:n=6,avgR=1.00; MSFT:n=3,avgR=0.05; SP500:n=2,avgR=-1.00"
9,3,long,sr+fib,candle,1.5,9,0.5555555555555556,0.3888888888888889,1.875,3.5,3.0,4,3,1.1666666666666667,"EURUSD:n=2,avgR=0.25; MSFT:n=3,avgR=0.67; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
14,5,long,sr+bb,either,1.5,3,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,3,2,1.1547005383792515,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
9,3,long,sr+bb,either,1.5,7,0.5714285714285714,0.42857142857142855,2.0,3.0,3.0,4,2,1.1338934190276817,"EURUSD:n=3,avgR=1.50; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
14,3,long,sr,macd,2.5,76,0.39473684210526316,0.12934917691347325,1.2166172736968375,9.830537445423968,10.548024493499234,5,4,1.1276399811919886,"GOOG:n=6,avgR=0.07; EURUSD:n=22,avgR=-0.01; MSFT:n=18,avgR=0.01; SP500:n=16,avgR=0.45; NASDAQ:n=14,avgR=0.15"
9,5,long,sr,either,2.5,72,0.3611111111111111,0.13263870478077566,1.2112744919538578,9.549986744215849,12.278262737318846,5,3,1.125476731179444,"GOOG:n=4,avgR=-0.41; EURUSD:n=21,avgR=0.23; MSFT:n=19,avgR=0.29; SP500:n=14,avgR=-0.45; NASDAQ:n=14,avgR=0.51"
9,3,long,sr+bb,candle,2.5,2,0.5,0.75,2.5,1.5,0.0,2,1,1.0606601717798214,"EURUSD:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,5,long,sr+bb,macd,2.5,2,0.5,0.75,2.5,1.5,1.0,2,1,1.0606601717798214,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00"
14,3,long,sr+bb,candle,2.5,2,0.5,0.75,2.5,1.5,0.0,2,1,1.0606601717798214,"EURUSD:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,3,long,sr,either,1.5,159,0.44025157232704404,0.08381869378765262,1.1521843700579528,13.327172312236767,9.788612840951874,5,2,1.0569135135358314,"GOOG:n=7,avgR=-0.01; EURUSD:n=47,avgR=-0.00; MSFT:n=48,avgR=-0.00; SP500:n=31,avgR=0.27; NASDAQ:n=26,avgR=0.21"
14,3,long,bb,either,2.5,11,0.45454545454545453,0.3080275077130604,1.5647170974739442,3.3883025848436645,5.0,4,2,1.0216116681925254,"EURUSD:n=6,avgR=0.42; MSFT:n=1,avgR=-1.00; SP500:n=3,avgR=-0.21; NASDAQ:n=1,avgR=2.50"
14,3,long,sr+bb,macd,2.5,4,0.5,0.47093871408043714,1.9418774281608742,1.8837548563217485,2.0,3,2,0.9418774281608743,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=0.19"
14,5,long,bb,either,2.5,5,0.4,0.4,1.6666666666666667,2.0,2.0,3,2,0.894427190999916,"EURUSD:n=3,avgR=0.17; MSFT:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,5,long,sr+bb,either,2.5,5,0.4,0.4,1.6666666666666667,2.0,3.0,4,2,0.894427190999916,"EURUSD:n=1,avgR=2.50; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,3,long,sr+bb,macd,2.5,5,0.4,0.4,1.6666666666666667,2.0,3.0,3,1,0.894427190999916,"EURUSD:n=2,avgR=2.50; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00"
14,5,long,fib,candle,2.5,5,0.4,0.4,1.6666666666666667,2.0,3.0,4,2,0.894427190999916,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,5,long,sr+fib,candle,2.5,5,0.4,0.4,1.6666666666666667,2.0,3.0,4,2,0.894427190999916,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,5,long,bb,either,2.5,8,0.375,0.3125,1.5,2.5,4.0,4,2,0.8838834764831844,"EURUSD:n=4,avgR=0.75; MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
9,5,long,sr+fib,either,2.5,8,0.375,0.3125,1.5,2.5,4.0,4,3,0.8838834764831844,"EURUSD:n=1,avgR=2.50; MSFT:n=2,avgR=0.75; SP500:n=3,avgR=-1.00; NASDAQ:n=2,avgR=0.75"
9,3,long,sr+fib,either,1.5,12,0.5,0.25,1.5,3.0,4.0,4,2,0.8660254037844386,"EURUSD:n=3,avgR=-0.17; MSFT:n=4,avgR=0.88; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
14,3,long,fib,either,1.5,12,0.5,0.25,1.5,3.0,4.0,4,3,0.8660254037844386,"EURUSD:n=4,avgR=0.25; MSFT:n=3,avgR=0.67; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,3,short,fib+bb,macd,2.5,5,0.4,0.37760947620707574,1.6067082671919186,1.8880473810353786,1.1119526189646214,3,2,0.8443604577471109,"MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=2,avgR=0.69"
9,3,short,fib+bb,either,2.5,5,0.4,0.37760947620707574,1.6067082671919186,1.8880473810353786,1.1119526189646214,3,2,0.8443604577471109,"MSFT:n=2,avgR=-1.00; SP500:n=1,avgR=2.50; NASDAQ:n=2,avgR=0.69"
14,3,long,sr+fib,either,1.5,10,0.5,0.25,1.5,2.5,4.0,4,3,0.7905694150420949,"EURUSD:n=2,avgR=0.25; MSFT:n=3,avgR=0.67; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,5,long,sr,macd,2.5,38,0.3684210526315789,0.12526173582906622,1.1994114478775297,4.759945961504516,7.5,5,3,0.7721651983808965,"GOOG:n=3,avgR=-0.21; EURUSD:n=14,avgR=-0.04; MSFT:n=11,avgR=0.15; SP500:n=5,avgR=0.54; NASDAQ:n=5,avgR=0.30"
14,3,long,sr+fib,candle,1.5,8,0.5,0.25,1.5,2.0,3.0,4,3,0.7071067811865476,"EURUSD:n=2,avgR=0.25; MSFT:n=2,avgR=0.25; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,3,short,sr+bb,either,2.5,15,0.4,0.17142867089798516,1.2857144514966419,2.5714300634697773,4.142646337464059,4,3,0.6639403874503687,"EURUSD:n=3,avgR=0.17; MSFT:n=7,avgR=-0.31; SP500:n=3,avgR=0.17; NASDAQ:n=2,avgR=1.86"
14,3,long,bb,macd,2.5,9,0.4444444444444444,0.20981139831596274,1.3776605169687328,1.8883025848436648,4.0,3,1,0.6294341949478882,"EURUSD:n=5,avgR=0.70; MSFT:n=1,avgR=-1.00; SP500:n=3,avgR=-0.21"
9,5,long,fib,candle,1.5,6,0.5,0.25,1.5,1.5,3.0,4,3,0.6123724356957945,"EURUSD:n=1,avgR=1.50; MSFT:n=2,avgR=0.25; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
9,5,long,sr+fib,candle,1.5,6,0.5,0.25,1.5,1.5,3.0,4,3,0.6123724356957945,"EURUSD:n=1,avgR=1.50; MSFT:n=2,avgR=0.25; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
9,5,long,sr,either,1.5,75,0.4266666666666667,0.06260075634350272,1.1116879896757066,4.695056725762704,12.25444301133092,5,3,0.5421384528959321,"GOOG:n=4,avgR=-0.51; EURUSD:n=22,avgR=0.14; MSFT:n=19,avgR=0.17; SP500:n=16,avgR=-0.39; NASDAQ:n=14,avgR=0.49"
14,3,long,fib,macd,1.5,4,0.5,0.25,1.5,1.0,2.0,4,2,0.5,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=1.50; SP500:n=1,avgR=-1.00; NASDAQ:n=1,avgR=-1.00"
14,3,short,sr+bb,macd,2.5,9,0.3333333333333333,0.16666666666666666,1.25,1.5,3.0,4,2,0.5,"EURUSD:n=1,avgR=-1.00; MSFT:n=5,avgR=-0.30; SP500:n=2,avgR=0.75; NASDAQ:n=1,avgR=2.50"
14,3,long,sr+bb,macd,1.5,4,0.5,0.25,1.5,1.0,2.0,3,2,0.5,"EURUSD:n=1,avgR=1.50; MSFT:n=1,avgR=-1.00; SP500:n=2,avgR=0.25"
14,3,long,sr,either,1.5,107,0.4205607476635514,0.0458846363339896,1.0804406873014598,4.909656087736887,13.996791181054046,5,2,0.4746343688680427,"GOOG:n=6,avgR=-0.26; EURUSD:n=30,avgR=0.00; MSFT:n=28,avgR=-0.08; SP500:n=23,avgR=0.16; NASDAQ:n=20,avgR=0.25"
9,3,long,fib,candle,1.5,11,0.45454545454545453,0.13636363636363635,1.25,1.5,4.0,4,2,0.4522670168666454,"EURUSD:n=3,avgR=-0.17; MSFT:n=3,avgR=0.67; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=0.67"
9,3,long,bb,macd,1.5,11,0.45454545454545453,0.13636363636363635,1.25,1.5,3.5,3,1,0.4522670168666454,"EURUSD:n=6,avgR=0.67; MSFT:n=3,avgR=-0.17; SP500:n=2,avgR=-1.00"
